Customer ID,Recency,Frequency,Monetary,Cluster,Segment
AA-10315,185,5,5563.56,1,Loyal Customers
AA-10375,20,9,1056.39,0,VIP Customers
AA-10480,260,4,1790.5120000000002,1,Loyal Customers
AA-10645,56,6,5086.9349999999995,0,VIP Customers
AB-10015,416,3,886.156,3,At-Risk Customers
AB-10060,55,8,7755.62,2,Occasional Customers
AB-10105,42,10,14473.570999999998,2,Occasional Customers
AB-10150,42,5,966.71,1,Loyal Customers
AB-10165,26,8,1113.838,0,VIP Customers
AB-10255,167,9,914.5319999999999,0,VIP Customers
AB-10600,51,4,1515.862,1,Loyal Customers
AC-10420,233,3,925.8,1,Loyal Customers
AC-10450,12,7,5527.846,0,VIP Customers
AC-10615,7,5,2537.6859999999997,1,Loyal Customers
AC-10660,283,5,657.316,1,Loyal Customers
AD-10180,30,8,6106.88,0,VIP Customers
AF-10870,42,7,2052.908,0,VIP Customers
AF-10885,416,4,861.565,3,At-Risk Customers
AG-10270,279,5,2582.898,1,Loyal Customers
AG-10300,119,4,367.548,1,Loyal Customers
AG-10330,9,5,660.972,1,Loyal Customers
AG-10390,115,5,200.945,1,Loyal Customers
AG-10495,79,8,2356.855,0,VIP Customers
AG-10525,846,4,1455.038,3,At-Risk Customers
AG-10675,98,7,3489.0396000000005,0,VIP Customers
AG-10765,78,4,170.584,1,Loyal Customers
AG-10900,97,10,4510.797,0,VIP Customers
AH-10030,13,7,1744.7,0,VIP Customers
AH-10075,35,10,3250.337,0,VIP Customers
AH-10120,61,7,1735.5140000000001,0,VIP Customers
AH-10195,56,4,1587.452,1,Loyal Customers
AH-10210,7,9,4805.344,0,VIP Customers
AH-10465,231,5,2495.3916,1,Loyal Customers
AH-10585,22,4,738.504,1,Loyal Customers
AH-10690,411,12,7888.294,2,Occasional Customers
AI-10855,14,10,4375.786,0,VIP Customers
AJ-10780,76,7,4867.344,0,VIP Customers
AJ-10795,167,7,4501.391,0,VIP Customers
AJ-10945,86,7,1839.24,0,VIP Customers
AJ-10960,75,3,629.2479999999999,1,Loyal Customers
AM-10360,29,5,814.012,1,Loyal Customers
AM-10705,163,8,5664.022,0,VIP Customers
AO-10810,502,1,161.28,3,At-Risk Customers
AP-10720,42,8,1638.554,0,VIP Customers
AP-10915,99,10,3323.556,0,VIP Customers
AR-10345,112,4,1055.694,1,Loyal Customers
AR-10405,126,5,2236.128,1,Loyal Customers
AR-10510,15,5,264.86400000000003,1,Loyal Customers
AR-10540,7,6,6608.448,2,Occasional Customers
AR-10570,535,1,88.15,3,At-Risk Customers
AR-10825,59,8,4523.336,0,VIP Customers
AS-10045,89,7,3050.692,0,VIP Customers
AS-10090,29,9,3255.31,0,VIP Customers
AS-10135,42,2,58.82,1,Loyal Customers
AS-10225,23,5,4260.784,1,Loyal Customers
AS-10240,193,7,584.6080000000001,1,Loyal Customers
AS-10285,20,6,3214.236,1,Loyal Customers
AS-10630,93,7,833.398,1,Loyal Customers
AT-10435,22,6,1171.814,1,Loyal Customers
AT-10735,14,10,3831.864,0,VIP Customers
AW-10840,21,4,649.376,1,Loyal Customers
AW-10930,47,7,2852.968,0,VIP Customers
AY-10555,15,4,497.014,1,Loyal Customers
AZ-10750,161,6,1622.0179999999998,1,Loyal Customers
BB-10990,106,5,744.3399999999999,1,Loyal Customers
BB-11545,29,9,6765.728,2,Occasional Customers
BC-11125,203,9,2933.676,0,VIP Customers
BD-11320,34,12,5718.521,0,VIP Customers
BD-11500,36,6,4411.2429999999995,0,VIP Customers
BD-11560,279,2,320.54,1,Loyal Customers
BD-11605,98,7,3288.471,0,VIP Customers
BD-11620,70,6,1538.11,1,Loyal Customers
BD-11635,10,3,582.646,1,Loyal Customers
BD-11725,94,6,1526.5,1,Loyal Customers
BD-11770,328,6,658.466,1,Loyal Customers
BE-11335,120,5,4204.676,1,Loyal Customers
BE-11410,99,5,2261.438,1,Loyal Customers
BE-11455,255,6,1727.652,1,Loyal Customers
BF-10975,92,7,599.798,1,Loyal Customers
BF-11005,40,4,1333.88,1,Loyal Customers
BF-11020,75,8,2888.506,0,VIP Customers
BF-11080,26,3,272.95,1,Loyal Customers
BF-11170,17,11,5907.972,0,VIP Customers
BF-11215,66,4,1585.162,1,Loyal Customers
BF-11275,58,3,791.9899999999999,1,Loyal Customers
BG-11035,29,8,2798.948,0,VIP Customers
BG-11695,37,6,1874.172,1,Loyal Customers
BG-11740,58,6,1006.356,1,Loyal Customers
BH-11710,24,8,6255.351,0,VIP Customers
BK-11260,78,6,659.1379999999999,1,Loyal Customers
BM-11140,308,4,11789.63,2,Occasional Customers
BM-11575,101,6,808.162,1,Loyal Customers
BM-11650,34,11,7294.185,2,Occasional Customers
BM-11785,219,10,1338.842,0,VIP Customers
BN-11470,25,4,265.296,1,Loyal Customers
BN-11515,10,5,1459.344,1,Loyal Customers
BO-11350,138,5,2682.728,1,Loyal Customers
BO-11425,76,2,130.83,1,Loyal Customers
BP-11050,84,5,983.42,1,Loyal Customers
BP-11095,18,12,2442.044,0,VIP Customers
BP-11155,90,6,1697.8609999999999,1,Loyal Customers
BP-11185,2,9,3675.861,0,VIP Customers
BP-11230,40,5,1181.49,1,Loyal Customers
BP-11290,13,7,2475.157,0,VIP Customers
BS-11365,559,5,10501.653,2,Occasional Customers
BS-11380,29,5,3887.834,1,Loyal Customers
BS-11590,36,6,2454.928,1,Loyal Customers
BS-11665,583,3,3288.1099999999997,3,At-Risk Customers
BS-11755,2,7,2562.382,0,VIP Customers
BS-11800,266,2,949.4300000000001,1,Loyal Customers
BT-11305,337,5,2567.656,1,Loyal Customers
BT-11395,303,6,2186.6130000000003,1,Loyal Customers
BT-11440,561,4,603.876,3,At-Risk Customers
BT-11485,660,2,415.19599999999997,3,At-Risk Customers
BT-11530,92,5,2684.4919999999997,1,Loyal Customers
BT-11680,21,7,3196.752,0,VIP Customers
BV-11245,335,5,1523.2730000000001,1,Loyal Customers
BW-11065,213,3,385.516,1,Loyal Customers
BW-11110,122,8,4750.358,0,VIP Customers
BW-11200,204,6,1738.406,1,Loyal Customers
CA-11965,97,6,3789.7228,1,Loyal Customers
CA-12055,402,5,1679.7240000000002,3,At-Risk Customers
CA-12265,57,9,2648.2872,0,VIP Customers
CA-12310,14,4,1421.954,1,Loyal Customers
CA-12775,121,7,3041.566,0,VIP Customers
CB-12025,48,10,6076.139,0,VIP Customers
CB-12415,27,8,1949.2,0,VIP Customers
CB-12535,198,8,4246.4555,0,VIP Customers
CC-12100,458,6,1770.945,3,At-Risk Customers
CC-12145,107,7,2471.65,0,VIP Customers
CC-12220,21,12,3913.418,0,VIP Customers
CC-12370,44,5,12129.072000000002,2,Occasional Customers
CC-12430,1,10,2870.05,0,VIP Customers
CC-12475,40,9,1659.438,0,VIP Customers
CC-12550,28,3,113.832,1,Loyal Customers
CC-12610,35,7,2540.631,0,VIP Customers
CC-12670,30,7,2269.7015,0,VIP Customers
CC-12685,800,4,2854.1150000000002,3,At-Risk Customers
CD-11920,41,5,2033.968,1,Loyal Customers
CD-11980,55,3,639.766,1,Loyal Customers
CD-12280,43,2,1205.584,1,Loyal Customers
CD-12790,400,5,1860.732,3,At-Risk Customers
CG-12040,50,6,904.4680000000001,1,Loyal Customers
CG-12520,339,3,1148.7800000000002,3,At-Risk Customers
CH-12070,692,3,1537.236,3,At-Risk Customers
CJ-11875,366,1,16.52,3,At-Risk Customers
CJ-12010,190,8,11164.974,2,Occasional Customers
CK-12205,40,13,3154.855,0,VIP Customers
CK-12325,121,5,2945.321,1,Loyal Customers
CK-12595,44,11,2372.75,0,VIP Customers
CK-12760,83,9,1582.109,0,VIP Customers
CL-11890,107,4,1262.0140000000001,1,Loyal Customers
CL-12565,285,12,10880.546,2,Occasional Customers
CL-12700,106,5,2353.586,1,Loyal Customers
CM-11815,132,6,1673.888,1,Loyal Customers
CM-11935,709,2,565.392,3,At-Risk Customers
CM-12115,9,4,1661.6100000000001,1,Loyal Customers
CM-12160,27,6,2533.314,1,Loyal Customers
