Order Date,Sales,Profit,Quantity
2011-01-04,16.448,5.5512,2
2011-01-05,288.06,-65.9901,8
2011-01-06,19.536,4.884,3
2011-01-07,4407.1,1358.0524,30
2011-01-08,87.15799999999999,-71.9621,10
2011-01-09,0.0,0.0,0
2011-01-10,40.544,10.918,5
2011-01-11,54.83,22.6537,2
2011-01-12,9.94,3.0814,2
2011-01-13,0.0,0.0,0
2011-01-14,3553.795,673.6386,48
2011-01-15,61.96,-53.2856,4
2011-01-16,149.95,65.978,5
2011-01-17,299.964,-5.933499999999999,14
2011-01-18,0.0,0.0,0
2011-01-19,64.864,6.4864,4
2011-01-20,378.594,-287.9976,24
2011-01-21,2673.87,584.3695,58
2011-01-22,25.248,4.1028,3
2011-01-23,0.0,0.0,0
2011-01-24,46.019999999999996,19.2384,9
2011-01-25,0.0,0.0,0
2011-01-26,0.0,0.0,0
2011-01-27,1097.25,150.327,38
2011-01-28,426.67,9.6827,8
2011-01-29,3.928,1.3257,1
2011-01-30,0.0,0.0,0
2011-01-31,240.5,11.6502,4
2011-02-01,290.666,3.4196,2
2011-02-02,468.9,206.316,6
2011-02-03,211.64600000000002,7.152499999999999,12
2011-02-04,97.11200000000001,31.5614,5
2011-02-05,134.38400000000001,51.1432,9
2011-02-06,0.0,0.0,0
2011-02-07,330.512,76.4833,12
2011-02-08,180.32,59.3488,11
2011-02-09,14.56,5.5328,2
2011-02-10,0.0,0.0,0
2011-02-11,0.0,0.0,0
2011-02-12,2043.4,293.5285,25
2011-02-13,129.568,-24.294,2
2011-02-14,0.0,0.0,0
2011-02-15,576.726,120.1764,10
2011-02-16,21.36,7.209,5
2011-02-17,9.04,-15.658,5
2011-02-18,54.208,8.8088,14
2011-02-19,37.784,-13.846799999999998,7
2011-02-20,0.0,0.0,0
2011-02-21,95.59,35.5612,9
2011-02-22,8.85,-13.7175,5
2011-02-23,19.44,9.3312,3
2011-02-24,11.364,-4.522500000000001,6
2011-02-25,55.672,18.789299999999997,7
2011-02-26,0.0,0.0,0
2011-02-27,0.0,0.0,0
2011-02-28,19.456,3.4048,4
2011-03-01,2203.151,-208.96140000000003,40
2011-03-02,202.384,56.0112,11
2011-03-03,1345.8919999999998,-629.7988999999999,35
2011-03-04,370.452,20.0778,8
2011-03-05,705.562,261.19010000000003,16
2011-03-06,0.0,0.0,0
2011-03-07,1561.062,134.1539,27
2011-03-08,0.0,0.0,0
2011-03-09,0.0,0.0,0
2011-03-10,741.956,4.188600000000001,9
2011-03-11,918.314,279.06100000000004,39
2011-03-12,0.0,0.0,0
2011-03-13,0.0,0.0,0
2011-03-14,2108.55,528.5024,38
2011-03-15,370.78200000000004,33.598,14
2011-03-16,471.92,29.495,2
2011-03-17,3960.358,-831.8572,82
2011-03-18,28106.716,-954.7089000000001,48
2011-03-19,590.762,68.6353,23
2011-03-20,0.0,0.0,0
2011-03-21,4109.816,1055.3735,39
2011-03-22,464.09299999999996,-50.9345,17
2011-03-23,945.064,126.9224,11
2011-03-24,65.38,26.2758,7
2011-03-25,459.146,96.6684,21
2011-03-26,145.13,30.7658,16
2011-03-27,0.0,0.0,0
2011-03-28,1823.8039999999999,-11.075400000000002,11
2011-03-29,890.841,-152.7156,3
2011-03-30,1170.3220000000001,232.7529,39
2011-03-31,1959.552,355.1097,29
2011-04-01,119.88799999999999,26.0896,12
2011-04-02,1458.558,407.39619999999996,29
2011-04-03,233.45,85.6044,7
2011-04-04,475.844,105.4521,25
2011-04-05,5295.098000000001,253.9044,54
2011-04-06,1650.69,299.5152,38
2011-04-07,1021.1700000000001,305.05600000000004,22
2011-04-08,1958.75,359.8481,27
2011-04-09,0.0,0.0,0
2011-04-10,0.0,0.0,0
2011-04-11,1915.24,523.2729,37
2011-04-12,1912.123,152.6581,35
2011-04-13,638.576,-384.7942,42
2011-04-14,0.0,0.0,0
2011-04-15,294.71999999999997,108.0,6
2011-04-16,39.072,9.768,6
2011-04-17,0.0,0.0,0
2011-04-18,1020.532,169.9374,26
2011-04-19,205.47,87.5664,17
2011-04-20,1250.45,-194.4528,16
2011-04-21,845.36,5.5755,11
2011-04-22,257.752,124.78689999999999,11
2011-04-23,643.98,-0.305299999999999,20
2011-04-24,0.0,0.0,0
2011-04-25,2379.9939999999997,332.8671,21
2011-04-26,282.568,40.745,16
2011-04-27,0.0,0.0,0
2011-04-28,2578.476,292.1672,29
2011-04-29,768.8439999999999,101.6814,16
2011-04-30,1048.74,276.49559999999997,13
2011-05-01,0.0,0.0,0
2011-05-02,506.12,91.9572,5
2011-05-03,72.632,28.8624,13
2011-05-04,187.43200000000002,58.5624,25
2011-05-05,260.977,34.5131,15
2011-05-06,254.456,85.7158,16
2011-05-07,1091.35,215.8138,12
2011-05-08,1799.97,239.996,5
2011-05-09,394.48,95.1736,25
2011-05-10,2343.799,57.82600000000002,34
2011-05-11,1642.802,-289.6088,32
2011-05-12,734.846,-119.22550000000001,10
2011-05-13,898.382,-242.28369999999995,23
2011-05-14,310.88,23.316,2
2011-05-15,0.0,0.0,0
2011-05-16,289.28,20.85,8
2011-05-17,91.68,45.84,3
2011-05-18,948.9480000000001,-158.00400000000002,10
2011-05-19,91.62,35.6472,14
2011-05-20,320.10400000000004,62.058099999999996,32
2011-05-21,4264.3279999999995,1719.5087,46
2011-05-22,180.93,46.580999999999996,3
2011-05-23,323.75800000000004,58.050200000000004,23
2011-05-24,116.28,56.9772,3
2011-05-25,119.53999999999999,-183.78379999999999,6
2011-05-26,1325.718,130.5086,21
2011-05-27,2157.394,111.54079999999999,33
2011-05-28,221.96800000000002,59.3088,14
2011-05-29,0.0,0.0,0
2011-05-30,1924.913,222.0358,27
2011-05-31,773.7,230.9727,6
2011-06-01,5188.5199999999995,1576.7509,55
2011-06-02,738.598,218.36079999999998,16
2011-06-03,741.336,96.10860000000001,22
2011-06-04,456.272,-6.493199999999999,12
2011-06-05,0.0,0.0,0
2011-06-06,1374.0010000000002,-265.2367,34
2011-06-07,281.397,-230.33159999999998,6
2011-06-08,2501.264,193.365,14
2011-06-09,5463.008,629.0289,66
2011-06-10,491.55,240.8595,5
2011-06-11,0.0,0.0,0
2011-06-12,0.0,0.0,0
2011-06-13,14.52,4.7916,3
2011-06-14,212.94,57.4938,3
2011-06-15,942.9739999999999,-78.24100000000001,11
2011-06-16,763.792,76.6876,20
2011-06-17,3418.5020000000004,1126.6297000000002,16
2011-06-18,139.8,12.2325,5
2011-06-19,0.0,0.0,0
2011-06-20,1828.9496,-62.9594,32
2011-06-21,4107.443,849.4221,56
2011-06-22,1975.498,40.2147,26
