Order Date,Sales,Profit,Quantity
2011-03-31,74447.796,3811.229,1028
2011-06-30,86538.7596,11204.0692,1523
2011-09-30,143633.2123,12804.7218,2159
2011-12-31,179627.7302,21723.9541,2871
2012-03-31,68851.7386,9264.9416,990
2012-06-30,89124.187,12190.9224,1604
2012-09-30,130259.5752,16853.6194,2241
2012-12-31,182297.0082,23309.1203,3144
2013-03-31,92596.41900000001,11446.3415,1232
2013-06-30,135370.113,16084.9055,2234
2013-09-30,144614.4282,16153.5046,2777
2013-12-31,235892.86980000001,38042.1792,3567
2014-03-31,118895.6174,21772.2303,1809
2014-06-30,134023.4058,17165.757,2574
2014-09-30,200433.173,26913.4451,3397
2014-12-31,280594.827,27656.0807,4723
